UNITID,AWLEVELC,CSTOTLT,YEAR
117724,2,782,2019
117724,3,439,2019
117733,1,247,2019
117733,2,936,2019
117733,3,1127,2019
117751,5,242,2019
117751,7,111,2019
117751,9,14,2019
117788,1,809,2019
117788,2,600,2019
117788,3,823,2019
117803,3,110,2019
117867,1,270,2019
117867,2,600,2019
117867,3,723,2019
117894,1,306,2019
117894,2,648,2019
117894,3,976,2019
117946,5,1535,2019
117946,7,722,2019
117946,9,342,2019
117946,10,104,2019
117955,1,144,2019
117955,2,103,2019
118134,1,36,2019
118134,2,25,2019
118143,1,23,2019
118143,2,12,2019
118161,1,45,2019
118161,2,62,2019
118198,1,41,2019
118198,2,280,2019
118198,3,50,2019
118347,1,19,2019
118347,2,51,2019
118347,3,331,2019
118541,3,90,2019
118541,5,192,2019
118541,7,19,2019
118684,1,38,2019
118684,2,3,2019
118684,3,276,2019
118693,5,165,2019
118718,1,408,2019
118718,2,907,2019
118718,3,1206,2019
118772,1,414,2019
118772,2,155,2019
118772,3,409,2019
118888,5,161,2019
118888,7,184,2019
118888,9,17,2019
118888,10,42,2019
118912,1,375,2019
118912,2,828,2019
118912,3,1657,2019
118912,5,21,2019
118930,1,136,2019
118930,2,374,2019
118930,3,561,2019
118958,1,8,2019
118958,2,17,2019
118976,1,613,2019
118976,2,765,2019
118976,3,1544,2019
118976,5,18,2019
118994,2,111,2019
119058,5,5,2019
119058,7,350,2019
119058,10,8,2019
119067,1,210,2019
119067,2,174,2019
119067,3,526,2019
119137,1,462,2019
119137,2,1287,2019
119137,3,1654,2019
119164,1,900,2019
119164,2,298,2019
119164,3,3171,2019
119173,1,7,2019
119173,3,174,2019
119173,5,496,2019
119173,7,208,2019
119173,9,33,2019
119173,10,40,2019
119216,1,25,2019
119216,2,268,2019
119216,3,1577,2019
119270,1,182,2019
119270,2,126,2019
119270,3,117,2019
119270,5,18,2019
119331,1,30,2019
119331,2,411,2019
119331,3,600,2019
119553,1,55,2019
119553,2,737,2019
119605,1,34,2019
119605,3,175,2019
119605,5,1793,2019
119605,7,3408,2019
119605,10,41,2019
119678,7,1185,2019
119678,9,10,2019
119678,10,1128,2019
119775,5,107,2019
119775,7,56,2019
119845,1,47,2019
119845,2,41,2019
119951,1,25,2019
119951,2,56,2019
120069,1,122,2019
120069,2,37,2019
120078,1,313,2019
120078,2,37,2019
120078,3,6,2019
120087,1,111,2019
120087,2,36,2019
120166,5,22,2019
120166,7,22,2019
120184,5,180,2019
120184,7,181,2019
120184,9,3,2019
120254,5,474,2019
120290,1,380,2019
120290,2,14,2019
120290,3,767,2019
120342,1,621,2019
120342,2,2082,2019
120342,3,2058,2019
120403,5,218,2019
120403,7,25,2019
120421,1,390,2019
120421,2,589,2019
120421,3,736,2019
120537,1,46,2019
120537,3,5,2019
120537,5,164,2019
120537,7,152,2019
120537,10,1,2019
120661,1,225,2019
120661,2,91,2019
120661,3,95,2019
120698,5,59,2019
120698,7,219,2019
120698,9,98,2019
120768,5,174,2019
120768,7,211,2019
120795,7,13,2019
120795,9,7,2019
120795,10,6,2019
120838,5,4,2019
120838,7,15,2019
120838,9,6,2019
120865,3,111,2019
120865,5,193,2019
120865,7,1,2019
120883,5,786,2019
120883,7,422,2019
120883,9,591,2019
120953,1,262,2019
120953,2,20,2019
120953,3,143,2019
120971,1,608,2019
120971,2,1578,2019
120971,3,1663,2019
121044,1,161,2019
121044,2,374,2019
121044,3,3207,2019
121150,5,901,2019
121150,7,1427,2019
121150,9,263,2019
121150,10,10,2019
121257,5,264,2019
121275,1,1,2019
121275,3,61,2019
121275,5,42,2019
121309,5,831,2019
121309,7,383,2019
121309,10,3,2019
121345,5,392,2019
121363,1,162,2019
121363,2,85,2019
121363,3,554,2019
121433,1,3,2019
121433,2,40,2019
121619,1,2873,2019
121619,3,1336,2019
121619,5,23,2019
121628,7,20,2019
121628,9,16,2019
121637,1,38,2019
121637,2,24,2019
121691,1,28,2019
121691,2,14,2019
121691,5,670,2019
121691,7,906,2019
121691,9,7,2019
121691,10,14,2019
121707,1,40,2019
121707,2,163,2019
121707,3,442,2019
121859,1,93,2019
121859,2,66,2019
121868,1,86,2019
121868,2,24,2019
121886,1,347,2019
121886,2,528,2019
121886,3,1332,2019
121886,5,10,2019
121901,1,722,2019
121901,2,350,2019
121901,3,2428,2019
121992,1,321,2019
121992,2,26,2019
122117,7,18,2019
122117,9,2,2019
122180,1,167,2019
122180,2,207,2019
122180,3,1449,2019
122205,1,997,2019
122205,2,2388,2019
122205,3,2186,2019
122296,5,527,2019
122296,7,305,2019
122296,9,93,2019
122296,10,8,2019
122339,1,389,2019
122339,2,215,2019
122339,3,928,2019
122375,1,128,2019
122375,2,252,2019
122375,3,1573,2019
122375,5,15,2019
122384,1,468,2019
122384,2,248,2019
122384,3,1059,2019
122409,5,7932,2019
122409,7,1561,2019
122409,9,130,2019
122409,10,124,2019
122436,5,1345,2019
122436,7,1110,2019
122436,9,241,2019
122436,10,128,2019
122454,5,64,2019
122454,7,42,2019
122454,10,1,2019
122506,2,29,2019
122506,5,38,2019
122506,7,70,2019
122506,10,10,2019
122597,5,6355,2019
122597,7,1003,2019
122597,9,55,2019
122597,10,91,2019
122603,7,15,2019
122603,9,6,2019
122603,10,7,2019
122612,5,1579,2019
122612,7,1574,2019
122612,9,165,2019
122612,10,1,2019
122649,9,34,2019
122658,1,384,2019
122658,2,265,2019
122658,3,1867,2019
122685,2,2242,2019
122685,3,1364,2019
122685,5,79,2019
122728,2,8,2019
122728,5,284,2019
122728,7,122,2019
122746,1,242,2019
122746,2,301,2019
122746,3,517,2019
122755,5,6794,2019
122755,7,2831,2019
122755,9,10,2019
122755,10,91,2019
122791,1,389,2019
122791,2,294,2019
122791,3,708,2019
122834,2,88,2019
122834,3,66,2019
122834,5,26,2019
122852,2,55,2019
122852,3,15,2019
122852,5,3,2019
122889,1,147,2019
122889,2,1213,2019
122889,3,1548,2019
122931,5,1277,2019
122931,7,958,2019
122931,9,231,2019
122931,10,90,2019
122977,1,267,2019
122977,2,3741,2019
122977,3,2914,2019
122977,5,22,2019
123013,1,2255,2019
123013,2,456,2019
123013,3,1729,2019
123095,7,60,2019
123095,9,59,2019
123095,10,2,2019
123165,2,1,2019
123165,5,243,2019
123165,10,18,2019
123217,1,861,2019
123217,2,222,2019
123217,3,1305,2019
123280,2,1,2019
123280,3,2,2019
123280,5,7,2019
123280,7,3,2019
123299,1,226,2019
123299,2,408,2019
123299,3,758,2019
123299,5,6,2019
123341,1,285,2019
123341,2,34,2019
123341,3,2242,2019
123350,1,12,2019
123350,2,45,2019
123448,7,35,2019
123448,9,25,2019
123457,5,219,2019
123457,7,40,2019
123484,1,31,2019
123484,2,92,2019
123484,3,285,2019
123493,1,22,2019
123493,2,147,2019
123509,1,259,2019
123509,2,90,2019
123509,3,725,2019
123509,5,2,2019
123527,1,94,2019
123527,2,449,2019
123527,3,969,2019
123554,5,650,2019
123554,7,362,2019
123554,9,5,2019
123554,10,136,2019
123563,1,302,2019
123563,2,47,2019
123563,3,921,2019
123563,5,12,2019
123572,5,2346,2019
123572,7,244,2019
123633,7,99,2019
123633,9,23,2019
123642,2,19,2019
123642,3,6,2019
123651,1,2,2019
123651,3,2,2019
123651,5,453,2019
123651,7,88,2019
123679,1,162,2019
123679,2,53,2019
123679,3,113,2019
123800,1,351,2019
123800,2,484,2019
123800,3,1636,2019
123855,7,13,2019
123916,7,19,2019
123916,10,1,2019
123943,7,52,2019
123943,9,92,2019
123952,5,59,2019
123952,7,119,2019
123961,5,5018,2019
123961,7,9171,2019
123961,9,1859,2019
123961,10,1196,2019
123970,7,10,2019
123970,9,201,2019
124113,1,56,2019
124113,2,3,2019
124113,3,435,2019
124283,7,51,2019
124283,9,52,2019
124292,5,83,2019
124487,3,12,2019
124487,5,14,2019
124487,7,10,2019
124487,9,1,2019
