UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
217934,12,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,1,Z,0,Z,0,R,1,R,2,Z,0,Z,0
217961,5,R,154,R,18,R,136,R,2,R,8,R,20,Z,0,Z,0,R,121,Z,0,R,3,Z,0,R,0,R,130,R,18,R,6,R,0
217961,7,R,44,R,8,R,36,Z,0,R,1,R,6,Z,0,Z,0,R,37,Z,0,R,0,Z,0,R,0,R,15,R,19,R,10,Z,0
217961,9,R,19,R,5,R,14,Z,0,Z,0,R,4,Z,0,Z,0,R,14,Z,0,R,1,Z,0,Z,0,Z,0,R,9,R,10,Z,0
217989,2,R,29,R,16,R,13,R,0,R,1,R,19,R,1,R,0,R,8,R,0,R,0,R,0,R,0,R,19,R,8,R,2,R,0
217989,3,R,55,R,25,R,30,R,0,R,1,R,38,R,1,R,0,R,15,R,0,R,0,R,0,R,6,R,32,R,9,R,8,R,0
217989,12,R,78,R,38,R,40,R,0,R,1,R,61,R,4,R,0,R,12,R,0,R,0,R,0,R,7,R,53,R,9,R,9,R,0
217998,5,R,139,R,93,R,46,R,0,R,0,R,22,R,10,R,0,R,47,R,0,R,60,R,0,R,0,R,135,R,4,R,0,R,0
217998,7,R,15,R,12,R,3,Z,0,Z,0,R,6,Z,0,Z,0,R,8,Z,0,R,1,Z,0,R,0,R,0,R,3,R,11,R,1
217998,9,R,13,R,12,R,1,Z,0,Z,0,R,2,Z,0,Z,0,R,11,Z,0,Z,0,Z,0,R,0,R,0,R,1,R,11,R,1
218025,2,R,73,R,19,R,54,R,2,R,1,R,34,R,0,R,0,R,28,R,1,R,7,R,0,R,0,R,25,R,30,R,18,R,0
218025,3,R,385,R,174,R,211,R,7,R,3,R,111,R,9,R,0,R,223,R,6,R,26,R,0,R,5,R,229,R,113,R,38,R,0
218025,12,R,255,R,193,R,62,R,4,R,3,R,91,R,4,R,0,R,134,R,3,R,16,Z,0,R,5,R,178,R,46,R,26,R,0
218061,5,R,481,R,169,R,312,R,3,R,11,R,152,R,20,R,0,R,262,R,13,R,7,R,13,R,0,R,409,R,64,R,8,R,0
218061,7,R,131,R,27,R,104,R,2,R,2,R,30,R,3,R,0,R,85,R,3,R,0,R,6,R,0,R,24,R,78,R,29,R,0
218061,9,R,4,R,0,R,4,R,0,R,0,R,2,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,4,R,0
218061,10,R,14,R,2,R,12,R,0,R,0,R,0,R,1,R,0,R,13,R,0,R,0,R,0,R,0,R,0,R,11,R,3,R,0
218070,5,R,481,R,211,R,270,R,1,R,17,R,44,R,31,R,0,R,353,R,16,R,1,R,18,R,0,R,478,R,3,R,0,R,0
218070,7,R,64,R,16,R,48,R,0,R,2,R,11,R,1,R,1,R,45,R,2,R,0,R,2,R,0,R,45,R,15,R,4,R,0
218070,10,R,12,R,6,R,6,R,0,R,0,R,6,R,0,R,0,R,6,R,0,R,0,R,0,R,0,R,0,R,6,R,6,R,0
218070,12,R,14,R,2,R,12,R,0,R,0,R,0,R,0,R,0,R,14,R,0,R,0,R,0,R,0,R,13,R,0,R,1,R,0
218113,2,R,568,R,360,R,208,R,3,R,14,R,96,R,76,R,0,R,347,R,21,R,11,R,0,R,0,R,333,R,166,R,69,R,0
218113,3,R,1138,R,439,R,699,R,4,R,38,R,136,R,135,R,0,R,741,R,50,R,34,R,0,R,2,R,587,R,415,R,134,R,0
218113,5,R,6,R,5,R,1,R,0,R,0,R,2,R,0,R,0,R,4,R,0,R,0,R,0,R,0,R,1,R,3,R,2,R,0
218113,11,R,46,R,17,R,29,R,0,R,2,R,1,R,5,R,0,R,36,R,0,R,2,Z,0,R,0,R,35,R,11,R,0,R,0
218113,12,R,1502,R,529,R,973,R,0,R,59,R,229,R,210,R,2,R,904,R,61,R,37,R,0,R,1,R,879,R,492,R,130,R,0
218140,2,R,22,R,0,R,22,R,0,R,0,R,10,R,0,R,0,R,12,R,0,R,0,R,0,R,0,R,6,R,16,R,0,R,0
218140,3,R,993,R,353,R,640,R,2,R,16,R,139,R,89,R,1,R,697,R,37,R,8,R,4,R,1,R,560,R,325,R,107,R,0
218140,12,R,792,R,397,R,395,R,5,R,11,R,126,R,70,R,0,R,536,R,35,R,9,R,0,R,0,R,460,R,232,R,100,R,0
218159,2,R,71,R,3,R,68,R,0,R,0,R,41,R,3,R,0,R,27,R,0,R,0,R,0,R,0,R,43,R,26,R,2,R,0
218195,2,R,60,R,2,R,58,R,0,R,0,R,40,R,2,R,0,R,18,R,0,R,0,R,0,R,0,R,33,R,21,R,6,R,0
218229,5,R,717,R,217,R,500,R,3,R,4,R,143,R,18,R,3,R,493,R,37,R,6,R,10,R,0,R,636,R,67,R,14,R,0
218229,7,R,257,R,75,R,182,R,2,R,0,R,47,R,4,R,5,R,188,R,3,R,0,R,8,R,0,R,67,R,141,R,49,R,0
218229,12,R,2,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,0,R,0,R,0,R,2,R,0,R,0,R,0
218238,3,R,32,R,19,R,13,R,0,R,3,R,7,R,5,R,0,R,13,R,1,R,2,R,1,R,2,R,17,R,6,R,7,R,0
218238,5,R,367,R,163,R,204,R,2,R,4,R,106,R,25,R,1,R,159,R,8,R,44,R,18,R,0,R,202,R,99,R,66,R,0
218238,7,R,108,R,34,R,74,R,0,R,0,R,49,R,5,R,0,R,41,R,1,R,5,R,7,R,0,R,26,R,49,R,33,R,0
218335,5,R,167,R,20,R,147,R,0,R,5,R,18,R,10,R,0,R,124,R,9,R,1,R,0,R,0,R,74,R,86,R,7,R,0
218335,7,R,373,R,74,R,299,R,0,R,25,R,39,R,14,R,0,R,268,R,12,R,7,R,8,R,0,R,88,R,256,R,29,R,0
218335,9,R,553,R,190,R,363,R,1,R,38,R,44,R,25,R,0,R,401,R,26,R,9,R,9,R,0,R,36,R,468,R,49,R,0
218335,10,R,9,R,2,R,7,R,0,R,0,R,0,R,1,R,0,R,4,R,0,R,0,R,4,R,0,R,0,R,6,R,3,R,0
218353,2,R,70,R,25,R,45,R,0,R,0,R,27,R,3,R,0,R,37,R,3,R,0,R,0,R,0,R,30,R,24,R,16,R,0
218353,3,R,920,R,361,R,559,R,3,R,14,R,260,R,74,R,1,R,468,R,52,R,48,R,0,R,14,R,471,R,315,R,120,R,0
218353,11,R,5,R,5,R,0,R,0,R,0,R,2,R,1,R,0,R,2,R,0,R,0,R,0,R,0,R,4,R,1,R,0,R,0
218353,12,R,653,R,289,R,364,R,5,R,10,R,233,R,64,R,1,R,269,R,40,R,31,R,0,R,86,R,305,R,194,R,68,R,0
