UNITID,AWLEVELC,CSTOTLT,YEAR
117672,09,95,2019
117690,01,58,2019
117690,02,547,2019
117690,03,855,2019
117706,01,231,2019
117706,02,1318,2019
117706,03,1558,2019
117715,01,57,2019
117715,02,266,2019
117715,03,467,2019
117724,01,290,2019
117724,02,782,2019
117724,03,439,2019
117733,01,247,2019
117733,02,936,2019
117733,03,1127,2019
117751,05,242,2019
117751,07,111,2019
117751,09,14,2019
117788,01,809,2019
117788,02,600,2019
117788,03,823,2019
117803,03,110,2019
117867,01,270,2019
117867,02,600,2019
117867,03,723,2019
117894,01,306,2019
117894,02,648,2019
117894,03,976,2019
117946,05,1535,2019
117946,07,722,2019
117946,09,342,2019
117946,10,104,2019
117955,01,144,2019
117955,02,103,2019
118134,01,36,2019
118134,02,25,2019
118143,01,23,2019
118143,02,12,2019
118161,01,45,2019
118161,02,62,2019
118198,01,41,2019
118198,02,280,2019
118198,03,50,2019
118347,01,19,2019
118347,02,51,2019
118347,03,331,2019
118541,03,90,2019
118541,05,192,2019
118541,07,19,2019
118684,01,38,2019
118684,02,3,2019
118684,03,276,2019
118693,05,165,2019
118718,01,408,2019
118718,02,907,2019
118718,03,1206,2019
118772,01,414,2019
118772,02,155,2019
118772,03,409,2019
118888,05,161,2019
118888,07,184,2019
118888,09,17,2019
118888,10,42,2019
118912,01,375,2019
118912,02,828,2019
118912,03,1657,2019
118912,05,21,2019
118930,01,136,2019
118930,02,374,2019
118930,03,561,2019
118958,01,8,2019
118958,02,17,2019
118976,01,613,2019
118976,02,765,2019
118976,03,1544,2019
118976,05,18,2019
118994,02,111,2019
119058,05,5,2019
119058,07,350,2019
119058,10,8,2019
119067,01,210,2019
119067,02,174,2019
119067,03,526,2019
119137,01,462,2019
119137,02,1287,2019
119137,03,1654,2019
119164,01,900,2019
119164,02,298,2019
119164,03,3171,2019
119173,01,7,2019
119173,03,174,2019
119173,05,496,2019
119173,07,208,2019
119173,09,33,2019
119173,10,40,2019
119216,01,25,2019
119216,02,268,2019
119216,03,1577,2019
119270,01,182,2019
119270,02,126,2019
119270,03,117,2019
119270,05,18,2019
119331,01,30,2019
119331,02,411,2019
119331,03,600,2019
119553,01,55,2019
119553,02,737,2019
119605,01,34,2019
119605,03,175,2019
119605,05,1793,2019
119605,07,3408,2019
119605,10,41,2019
119678,07,1185,2019
119678,09,10,2019
119678,10,1128,2019
119775,05,107,2019
119775,07,56,2019
119845,01,47,2019
119845,02,41,2019
119951,01,25,2019
119951,02,56,2019
120069,01,122,2019
